X	Freq	Value
-1.000	0.0	0.3108
-1.000	140.6	0.0268
-1.000	304.7	-0.2619
-1.000	468.8	0.0127
-1.000	632.8	0.0084
-1.000	796.9	-0.0388
-1.000	960.9	0.0056
-1.000	1125.0	0.0487
-1.000	1289.1	-0.0193
-1.000	1453.1	0.0007
-1.000	1617.2	0.0212
-1.000	1781.2	0.0104
-1.000	1945.3	0.0078
-1.000	2109.4	0.0068
-1.000	2273.4	-0.0012
-1.000	2437.5	0.0072
-1.000	2601.6	-0.0073
-1.000	2765.6	0.0094
-1.000	2929.7	-0.0025
-1.000	3093.8	-0.0042
-1.000	3257.8	-0.0028
-1.000	3421.9	-0.0054
-1.000	3585.9	0.0038
-1.000	3750.0	-0.0096
-1.000	3914.1	0.0035
-1.000	4054.7	-0.0038
-1.000	4218.8	-0.0028
-1.000	4382.8	0.0052
-1.000	4546.9	-0.0004
-1.000	4710.9	0.0068
-1.000	4875.0	0.0023
-1.000	5039.1	0.0080
-1.000	5203.1	-0.0036
-1.000	5367.2	0.0012
-1.000	5531.2	-0.0012
-1.000	5695.3	-0.0045
-1.000	5859.4	0.0039
-1.000	6023.4	-0.0089
-1.000	6187.5	-0.0054
-1.000	6351.6	0.0048
-1.000	6515.6	-0.0084
-1.000	6679.7	0.0026
-1.000	6843.8	0.0004
-1.000	7007.8	-0.0028
-1.000	7171.9	-0.0066
-1.000	7335.9	0.0026
-1.000	7500.0	-0.0043
-1.000	7664.1	-0.0024
-1.000	7828.1	0.0003
-1.000	7992.2	0.0027

-0.960	0.0	0.3108
-0.960	140.6	0.0256
-0.960	304.7	-0.2718
-0.960	468.8	0.0116
-0.960	632.8	0.0088
-0.960	796.9	-0.0410
-0.960	960.9	0.0071
-0.960	1125.0	0.0502
-0.960	1289.1	-0.0151
-0.960	1453.1	0.0043
-0.960	1617.2	-0.0041
-0.960	1781.2	0.0059
-0.960	1945.3	0.0082
-0.960	2109.4	0.0025
-0.960	2273.4	-0.0078
-0.960	2437.5	0.0106
-0.960	2601.6	-0.0046
-0.960	2765.6	0.0034
-0.960	2929.7	0.0099
-0.960	3093.8	0.0003
-0.960	3257.8	-0.0059
-0.960	3421.9	0.0008
-0.960	3585.9	-0.0007
-0.960	3750.0	-0.0044
-0.960	3914.1	0.0075
-0.960	4054.7	-0.0060
-0.960	4218.8	0.0081
-0.960	4382.8	-0.0028
-0.960	4546.9	-0.0040
-0.960	4710.9	-0.0010
-0.960	4875.0	0.0043
-0.960	5039.1	-0.0028
-0.960	5203.1	-0.0039
-0.960	5367.2	-0.0027
-0.960	5531.2	0.0062
-0.960	5695.3	0.0088
-0.960	5859.4	0.0001
-0.960	6023.4	0.0062
-0.960	6187.5	-0.0009
-0.960	6351.6	-0.0086
-0.960	6515.6	0.0045
-0.960	6679.7	-0.0019
-0.960	6843.8	-0.0061
-0.960	7007.8	0.0061
-0.960	7171.9	0.0030
-0.960	7335.9	-0.0028
-0.960	7500.0	0.0051
-0.960	7664.1	0.0028
-0.960	7828.1	-0.0018
-0.960	7992.2	-0.0014

-0.920	0.0	0.3108
-0.920	140.6	0.0243
-0.920	304.7	-0.2784
-0.920	468.8	0.0101
-0.920	632.8	0.0086
-0.920	796.9	-0.0396
-0.920	960.9	0.0076
-0.920	1125.0	0.0429
-0.920	1289.1	-0.0073
-0.920	1453.1	0.0067
-0.920	1617.2	-0.0284
-0.920	1781.2	-0.0013
-0.920	1945.3	0.0043
-0.920	2109.4	-0.0034
-0.920	2273.4	-0.0091
-0.920	2437.5	0.0057
-0.920	2601.6	0.0022
-0.920	2765.6	-0.0061
-0.920	2929.7	0.0116
-0.920	3093.8	0.0045
-0.920	3257.8	-0.0012
-0.920	3421.9	0.0059
-0.920	3585.9	-0.0042
-0.920	3750.0	0.0083
-0.920	3914.1	-0.0019
-0.920	4054.7	0.0032
-0.920	4218.8	0.0026
-0.920	4382.8	-0.0048
-0.920	4546.9	0.0015
-0.920	4710.9	-0.0063
-0.920	4875.0	-0.0045
-0.920	5039.1	-0.0062
-0.920	5203.1	0.0064
-0.920	5367.2	0.0012
-0.920	5531.2	-0.0048
-0.920	5695.3	-0.0049
-0.920	5859.4	-0.0039
-0.920	6023.4	0.0008
-0.920	6187.5	0.0064
-0.920	6351.6	0.0077
-0.920	6515.6	0.0012
-0.920	6679.7	0.0005
-0.920	6843.8	0.0095
-0.920	7007.8	-0.0075
-0.920	7171.9	0.0008
-0.920	7335.9	0.0026
-0.920	7500.0	-0.0054
-0.920	7664.1	-0.0029
-0.920	7828.1	0.0029
-0.920	7992.2	0.0005

-0.879	0.0	0.3108
-0.879	140.6	0.0229
-0.879	304.7	-0.2813
-0.879	468.8	0.0083
-0.879	632.8	0.0080
-0.879	796.9	-0.0344
-0.879	960.9	0.0072
-0.879	1125.0	0.0275
-0.879	1289.1	0.0024
-0.879	1453.1	0.0072
-0.879	1617.2	-0.0424
-0.879	1781.2	-0.0080
-0.879	1945.3	-0.0019
-0.879	2109.4	-0.0072
-0.879	2273.4	-0.0039
-0.879	2437.5	-0.0039
-0.879	2601.6	0.0071
-0.879	2765.6	-0.0094
-0.879	2929.7	0.0000
-0.879	3093.8	0.0031
-0.879	3257.8	0.0052
-0.879	3421.9	0.0023
-0.879	3585.9	-0.0009
-0.879	3750.0	0.0066
-0.879	3914.1	-0.0078
-0.879	4054.7	0.0062
-0.879	4218.8	-0.0084
-0.879	4382.8	0.0038
-0.879	4546.9	0.0035
-0.879	4710.9	0.0039
-0.879	4875.0	-0.0016
-0.879	5039.1	0.0070
-0.879	5203.1	-0.0014
-0.879	5367.2	0.0016
-0.879	5531.2	-0.0011
-0.879	5695.3	-0.0030
-0.879	5859.4	0.0047
-0.879	6023.4	-0.0070
-0.879	6187.5	-0.0081
-0.879	6351.6	-0.0032
-0.879	6515.6	-0.0061
-0.879	6679.7	0.0009
-0.879	6843.8	-0.0102
