X	Freq	Value
-1.000	0.0	0.0003
-1.000	140.6	-0.0640
-1.000	304.7	-0.0832
-1.000	468.8	0.0372
-1.000	632.8	0.1117
-1.000	796.9	0.0572
-1.000	960.9	-0.0260
-1.000	1125.0	-0.1100
-1.000	1289.1	0.0458
-1.000	1453.1	-0.0225
-1.000	1617.2	-0.0800
-1.000	1781.2	-0.0174
-1.000	1945.3	0.0233
-1.000	2109.4	-0.0222
-1.000	2273.4	-0.0049
-1.000	2437.5	-0.0101
-1.000	2601.6	0.0060
-1.000	2765.6	0.0128
-1.000	2929.7	0.0198
-1.000	3093.8	0.0177
-1.000	3257.8	-0.0044
-1.000	3421.9	0.0259
-1.000	3585.9	-0.0098
-1.000	3750.0	0.0059
-1.000	3914.1	0.0010
-1.000	4054.7	-0.0049
-1.000	4218.8	0.0033
-1.000	4382.8	-0.0024
-1.000	4546.9	-0.0081
-1.000	4710.9	-0.0092
-1.000	4875.0	0.0138
-1.000	5039.1	0.0012
-1.000	5203.1	-0.0019
-1.000	5367.2	-0.0117
-1.000	5531.2	-0.0044
-1.000	5695.3	0.0086
-1.000	5859.4	0.0006
-1.000	6023.4	0.0058
-1.000	6187.5	0.0132
-1.000	6351.6	-0.0093
-1.000	6515.6	-0.0027
-1.000	6679.7	-0.0068
-1.000	6843.8	0.0019
-1.000	7007.8	-0.0100
-1.000	7171.9	0.0078
-1.000	7335.9	-0.0092
-1.000	7500.0	0.0066
-1.000	7664.1	0.0036
-1.000	7828.1	-0.0018
-1.000	7992.2	-0.0017

-0.960	0.0	0.0003
-0.960	140.6	-0.0626
-0.960	304.7	-0.0644
-0.960	468.8	0.0262
-0.960	632.8	0.1164
-0.960	796.9	0.0541
-0.960	960.9	-0.0246
-0.960	1125.0	-0.0259
-0.960	1289.1	0.0438
-0.960	1453.1	-0.0125
-0.960	1617.2	-0.0302
-0.960	1781.2	-0.0144
-0.960	1945.3	0.0086
-0.960	2109.4	-0.0173
-0.960	2273.4	-0.0271
-0.960	2437.5	-0.0011
-0.960	2601.6	-0.0187
-0.960	2765.6	-0.0058
-0.960	2929.7	0.0109
-0.960	3093.8	-0.0288
-0.960	3257.8	-0.0039
-0.960	3421.9	0.0083
-0.960	3585.9	-0.0026
-0.960	3750.0	-0.0037
-0.960	3914.1	0.0100
-0.960	4054.7	0.0000
-0.960	4218.8	-0.0062
-0.960	4382.8	-0.0018
-0.960	4546.9	-0.0020
-0.960	4710.9	0.0055
-0.960	4875.0	0.0050
-0.960	5039.1	0.0096
-0.960	5203.1	0.0026
-0.960	5367.2	-0.0011
-0.960	5531.2	0.0050
-0.960	5695.3	0.0039
-0.960	5859.4	-0.0009
-0.960	6023.4	0.0124
-0.960	6187.5	-0.0140
-0.960	6351.6	-0.0163
-0.960	6515.6	0.0069
-0.960	6679.7	0.0011
-0.960	6843.8	0.0036
-0.960	7007.8	0.0122
-0.960	7171.9	0.0095
-0.960	7335.9	0.0050
-0.960	7500.0	-0.0077
-0.960	7664.1	0.0029
-0.960	7828.1	-0.0019
-0.960	7992.2	0.0006

-0.920	0.0	0.0003
-0.920	140.6	-0.0615
-0.920	304.7	-0.0412
-0.920	468.8	0.0130
-0.920	632.8	0.1097
-0.920	796.9	0.0351
-0.920	960.9	-0.0203
-0.920	1125.0	0.0490
-0.920	1289.1	0.0278
-0.920	1453.1	-0.0097
-0.920	1617.2	0.0192
-0.920	1781.2	-0.0022
-0.920	1945.3	-0.0133
-0.920	2109.4	0.0092
-0.920	2273.4	-0.0294
-0.920	2437.5	0.0217
-0.920	2601.6	-0.0031
-0.920	2765.6	-0.0144
-0.920	2929.7	-0.0103
-0.920	3093.8	-0.0247
-0.920	3257.8	0.0049
-0.920	3421.9	-0.0071
-0.920	3585.9	0.0036
-0.920	3750.0	-0.0147
-0.920	3914.1	-0.0143
-0.920	4054.7	-0.0181
-0.920	4218.8	-0.0041
-0.920	4382.8	-0.0022
-0.920	4546.9	0.0122
-0.920	4710.9	-0.0074
-0.920	4875.0	-0.0010
-0.920	5039.1	-0.0021
-0.920	5203.1	0.0114
-0.920	5367.2	0.0008
-0.920	5531.2	-0.0046
-0.920	5695.3	0.0036
-0.920	5859.4	0.0109
-0.920	6023.4	-0.0073
-0.920	6187.5	0.0001
-0.920	6351.6	0.0087
-0.920	6515.6	-0.0020
-0.920	6679.7	0.0024
-0.920	6843.8	0.0020
-0.920	7007.8	0.0020
-0.920	7171.9	-0.0106
-0.920	7335.9	0.0099
-0.920	7500.0	-0.0104
-0.920	7664.1	-0.0068
-0.920	7828.1	0.0021
-0.920	7992.2	-0.0028

-0.879	0.0	0.0003
-0.879	140.6	-0.0607
-0.879	304.7	-0.0142
-0.879	468.8	-0.0014
-0.879	632.8	0.0917
-0.879	796.9	0.0021
-0.879	960.9	-0.0126
-0.879	1125.0	0.0898
-0.879	1289.1	0.0032
-0.879	1453.1	-0.0158
-0.879	1617.2	0.0342
-0.879	1781.2	0.0091
-0.879	1945.3	-0.0179
-0.879	2109.4	0.0275
-0.879	2273.4	-0.0124
-0.879	2437.5	0.0217
-0.879	2601.6	0.0283
-0.879	2765.6	-0.0045
-0.879	2929.7	-0.0066
-0.879	3093.8	0.0228
-0.879	3257.8	-0.0126
-0.879	3421.9	0.0279
-0.879	3585.9	-0.0106
-0.879	3750.0	-0.0074
-0.879	3914.1	0.0078
-0.879	4054.7	0.0021
-0.879	4218.8	0.0180
-0.879	4382.8	-0.0051
-0.879	4546.9	-0.0065
-0.879	4710.9	0.0027
-0.879	4875.0	-0.0028
-0.879	5039.1	-0.0037
-0.879	5203.1	0.0034
-0.879	5367.2	0.0117
-0.879	5531.2	0.0047
-0.879	5695.3	-0.0082
-0.879	5859.4	-0.0003
-0.879	6023.4	-0.0070
-0.879	6187.5	-0.0041
-0.879	6351.6	0.0086
-0.879	6515.6	0.0101
-0.879	6679.7	0.0061
-0.879	6843.8	-0.0109
-0.879	7007.8	0.0071
-0.879	7171.9	0.0022
-0.879	7335.9	-0.0053
-0.879	7500.0	0.0044
-0.879	7664.1	0.0055
-0.879	7828.1	0.0013
-0.879	7992.2	0.0010

-0.839	0.0	0.0003
-0.839	140.6	-0.0604
-0.839	304.7	0.0157
-0.839	468.8	-0.0157
-0.839	632.8	0.0638
-0.839	796.9	-0.0397
-0.839	960.9	-0.0021
-0.839	1125.0	0.0849
-0.839	1289.1	-0.0203
-0.839	1453.1	-0.0258
-0.839	1617.2	0.0086
-0.839	1781.2	0.0097
-0.839	1945.3	0.0010
-0.839	2109.4	0.0161
-0.839	2273.4	-0.0014
-0.839	2437.5	-0.0043
-0.839	2601.6	0.0180
-0.839	2765.6	-0.0022
-0.839	2929.7	0.0045
-0.839	3093.8	0.0067
-0.839	3257.8	-0.0194
-0.839	3421.9	0.0120
-0.839	3585.9	-0.0012
-0.839	3750.0	-0.0060
-0.839	3914.1	0.0072
-0.839	4054.7	0.0061
-0.839	4218.8	-0.0040
-0.839	4382.8	0.0032
-0.839	4546.9	0.0138
-0.839	4710.9	0.0025
-0.839	4875.0	-0.0147
-0.839	5039.1	-0.0065
-0.839	5203.1	0.0000
-0.839	5367.2	0.0025
-0.839	5531.2	-0.0048
-0.839	5695.3	-0.0046
-0.839	5859.4	-0.0009
-0.839	6023.4	-0.0092
-0.839	6187.5	0.0044
-0.839	6351.6	0.0120
-0.839	6515.6	-0.0126
-0.839	6679.7	-0.0021
-0.839	6843.8	0.0022
-0.839	7007.8	-0.0078
-0.839	7171.9	-0.0011
