SJR_dB	Mic-Mic_MAE	PI-GS_MAE
-40.0	3.258	1.610
-38.0	3.259	1.620
-36.0	3.260	1.634
-34.0	3.262	1.652
-32.0	3.265	1.674
-30.0	3.268	1.706
-28.0	3.272	1.747
-26.0	3.276	1.814
-24.0	3.278	1.902
-22.0	3.278	0.987
-20.0	3.282	1.048
-18.0	3.287	1.116
-16.0	3.293	1.167
-14.0	3.307	1.183
-12.0	3.326	1.177
-10.0	3.334	1.229
-8.0	3.347	3.863
-6.0	3.349	2.933
-4.0	3.315	2.925
-2.0	3.251	2.921
0.0	3.230	2.986
2.0	3.252	3.105
4.0	3.171	3.097
6.0	3.068	3.034
8.0	2.978	2.958
10.0	2.906	2.889
12.0	2.845	2.829
14.0	2.800	2.783
16.0	2.770	2.752
18.0	2.738	2.720
20.0	2.710	2.690
